time,smile,disgust,joy,pitch,yaw,roll,frame_x,frame_y,frame_width,frame_height,face_point_0,face_point_1,face_point_2,face_point_3,face_point_4,face_point_5,face_point_6,face_point_7,face_point_8,face_point_9,face_point_10,face_point_11,face_point_12,face_point_13,face_point_14,face_point_15,face_point_16,face_point_17,face_point_18,face_point_19,face_point_20,face_point_21,face_point_22,face_point_23,face_point_24,face_point_25,face_point_26,face_point_27,face_point_28,face_point_29,face_point_30,face_point_31,face_point_32,face_point_33
0.14479780197143555,6.08,0.27,0.01,-6.08,1.22,1.84,-10.15,3.00,180.85,185.59,38.77_108.85,52.13_139.56,78.71_157.66,106.92_139.87,120.48_109.15,40.40_66.85,54.41_63.83,68.86_67.40,89.46_67.54,104.21_63.68,118.52_66.90,79.37_76.50,78.97_102.18,68.47_105.52,79.14_107.89,90.17_105.64,47.29_78.15,66.24_78.37,92.67_78.26,111.72_77.99,60.88_124.54,74.92_119.64,79.33_121.64,83.70_119.69,97.59_124.62,89.58_132.50,78.77_135.63,68.23_132.04,79.25_126.04,78.89_128.78,56.57_76.07,56.36_80.16,102.25_75.78,102.41_80.02
0.34682488441467285,0.31,0.42,0.00,-6.97,0.61,1.46,-3.04,2.84,169.16,185.23,41.03_107.93,53.20_137.82,80.35_157.20,107.94_138.46,119.93_107.60,44.25_66.51,57.02_63.31,71.09_66.93,89.32_67.11,103.88_63.23,117.31_66.63,80.40_76.37,80.34_100.87,70.78_104.62,80.45_107.11,90.22_104.65,50.30_77.46,68.02_78.04,92.71_78.12,110.50_77.65,63.48_123.79,75.91_119.94,80.72_121.70,85.56_119.88,97.65_123.35,90.85_131.38,80.35_134.62,70.23_131.29,80.61_125.74,80.35_128.27,58.98_75.79,58.90_79.95,101.95_75.76,101.95_80.10
0.5474598407745361,84.67,0.00,98.88,-7.82,1.39,2.65,-4.39,3.02,172.17,185.20,41.01_107.01,52.00_136.16,78.71_157.36,108.08_136.96,120.81_107.38,43.74_66.53,56.74_63.64,70.49_66.94,90.21_67.20,104.47_63.87,118.11_67.18,80.31_76.83,79.65_99.69,69.25_103.59,79.92_106.02,91.01_103.95,49.06_77.70,67.72_77.78,93.28_78.01,112.21_78.15,62.96_123.92,75.90_120.11,80.44_122.09,84.92_120.08,97.74_123.77,90.57_132.32,79.52_135.60,69.15_131.96,80.40_126.14,79.70_128.84,58.00_75.93,58.01_80.25,102.69_76.13,102.75_80.40
0.7466030120849609,7.77,0.24,0.01,-10.27,0.79,2.59,-8.10,3.42,177.02,181.90,39.97_105.15,51.60_134.69,77.24_155.01,105.73_136.27,119.49_106.03,41.39_66.62,55.33_63.50,69.66_67.38,89.06_67.54,103.29_63.15,117.85_66.47,79.28_76.96,79.08_102.51,68.21_105.02,79.03_107.80,90.84_105.25,48.01_77.44,66.58_77.90,92.40_77.75,111.37_77.32,59.82_122.28,74.99_118.98,79.43_120.97,83.95_119.05,98.64_122.34,90.22_130.84,78.18_134.27,66.67_130.24,79.36_125.18,78.31_127.53,57.20_75.91,56.98_79.61,101.57_75.49,101.93_79.38
0.9486289024353027,5.46,0.29,0.00,-10.88,0.70,1.85,-5.24,5.39,174.80,180.07,42.59_105.74,54.40_135.20,80.29_155.45,107.73_136.36,120.70_106.36,43.63_67.59,57.33_64.56,71.43_68.43,90.75_68.56,104.72_64.47,119.13_67.71,81.07_77.83,81.10_103.48,70.10_105.93,81.10_108.58,92.83_105.95,49.82_78.17,68.47_78.91,94.11_78.83,112.90_78.31,62.15_123.46,77.06_120.15,81.61_122.08,86.09_120.06,100.40_123.12,92.46_131.26,80.82_134.75,69.24_131.02,81.52_126.23,80.89_128.09,59.03_76.79,58.72_80.67,103.34_76.58,103.57_80.50
1.1496896743774414,9.98,0.21,0.01,-8.25,0.53,1.80,-6.16,1.35,173.62,185.72,40.35_106.23,53.27_134.59,78.84_156.12,105.48_135.44,119.29_105.67,42.38_65.98,55.73_62.34,69.99_66.17,88.67_66.54,103.33_62.61,117.37_66.45,79.37_76.38,79.38_98.84,68.60_103.22,79.50_105.33,91.04_103.27,48.41_77.25,67.17_77.50,92.53_77.46,111.01_77.43,62.62_122.91,75.87_118.85,80.23_120.70,84.53_118.84,96.90_122.85,89.80_131.33,79.14_134.97,68.95_131.05,80.11_124.69,79.30_127.97,57.67_75.44,57.71_79.44,101.61_75.45,101.67_79.46
1.3502306938171387,22.84,0.08,0.12,-10.40,2.28,1.38,-5.89,2.37,172.89,181.43,40.45_102.76,52.19_131.85,79.11_153.57,107.76_132.99,121.40_102.22,42.44_65.58,54.85_62.12,68.75_65.67,89.29_65.56,103.28_61.74,117.12_64.81,78.82_76.12,78.48_98.61,68.47_102.28,78.92_104.82,90.58_102.41,48.77_76.81,66.33_77.17,92.96_77.06,110.06_76.52,62.05_120.07,74.68_116.84,79.99_118.41,85.29_116.93,97.95_119.92,90.57_128.64,79.04_132.18,68.19_128.35,79.92_122.05,79.23_125.97,57.23_76.31,57.26_78.62,101.31_75.89,101.53_78.37
1.5515248775482178,21.35,0.09,0.09,-8.28,0.66,1.52,-5.63,3.64,174.08,184.06,41.39_106.64,54.17_135.45,80.20_157.03,106.69_135.88,119.59_106.38,43.03_67.39,56.05_64.16,69.80_67.12,90.74_67.26,104.99_64.06,118.22_67.70,79.99_76.96,79.91_99.52,68.76_103.35,80.11_105.81,92.06_103.56,48.62_78.04,67.46_77.90,93.81_77.69,112.58_78.04,63.57_123.31,76.20_119.52,80.87_121.51,85.44_119.53,98.15_123.27,91.18_132.39,80.36_136.00,69.97_131.98,80.82_125.41,80.54_129.16,57.71_76.33,57.81_80.07,103.37_76.08,103.18_79.99
1.7495179176330566,25.82,0.07,0.20,-10.35,2.91,3.44,-3.33,0.91,172.45,186.65,41.27_103.35,53.95_134.46,79.76_156.45,108.35_136.23,124.53_103.97,44.87_64.96,56.85_61.93,70.04_65.44,92.08_65.47,105.84_62.47,119.37_65.79,80.81_75.93,80.06_100.91,69.44_102.93,80.28_106.79,92.30_103.25,51.17_76.39,68.09_76.69,95.15_76.92,111.94_76.99,63.34_121.70,76.18_118.55,81.23_120.16,86.39_118.73,98.79_121.94,91.46_130.70,79.81_134.28,69.08_130.23,81.07_123.81,80.00_127.81,59.59_76.03,59.55_77.91,103.19_76.34,103.32_78.32
1.9526777267456055,66.21,0.00,75.57,-8.32,1.51,2.51,-1.71,3.95,172.88,187.66,43.25_108.10,55.72_138.58,81.96_160.33,110.05_140.11,124.73_108.60,46.62_68.39,59.40_65.15,73.19_69.00,93.33_69.13,107.31_65.33,121.29_68.60,82.87_78.64,82.34_102.35,71.62_105.80,82.70_108.84,94.76_106.14,52.51_79.48,70.78_79.95,96.78_79.77,114.68_79.57,65.59_125.85,78.50_121.79,83.52_123.77,88.54_121.89,101.44_125.93,94.03_134.12,82.66_137.54,71.95_133.74,83.42_127.89,82.81_130.90,61.56_77.30,61.44_81.60,105.65_77.14,105.50_81.51
2.1536498069763184,16.55,0.13,0.04,-7.79,0.92,2.23,2.78,2.89,166.15,191.19,45.67_110.19,56.79_140.56,82.85_162.22,111.07_140.84,123.78_110.39,49.22_68.96,61.55_65.49,74.66_68.76,94.23_68.89,107.88_65.42,120.99_68.83,84.48_79.48,83.77_103.54,73.84_106.74,84.19_109.83,94.83_106.84,53.86_79.97,72.47_80.19,96.84_80.24,115.46_80.09,67.31_127.44,80.26_123.14,84.68_125.02,89.14_123.11,102.03_127.32,94.75_135.76,83.76_139.58,73.50_135.52,84.63_129.16,83.93_132.76,63.01_77.41,63.11_82.48,106.14_77.29,106.13_82.43
2.3543448448181152,0.00,0.43,0.00,-14.56,1.42,1.58,1.41,6.58,168.25,189.00,42.24_107.55,57.46_142.81,84.30_164.08,111.31_143.16,127.58_106.75,48.44_70.46,59.65_68.92,72.18_72.21,96.02_72.16,108.77_68.36,121.12_69.74,84.04_82.86,83.52_112.15,73.56_110.62,83.81_115.42,94.38_110.81,55.26_82.75,71.20_83.21,97.89_83.00,113.94_82.28,68.04_128.11,80.08_125.10,84.43_126.42,88.71_125.16,101.07_127.58,94.15_137.71,83.92_141.58,74.42_137.57,84.40_129.07,84.16_135.66,63.12_82.62,63.05_84.96,106.00_82.12,106.17_84.67
2.55515193939209,0.00,0.43,0.00,-0.34,1.22,1.47,-5.33,4.83,175.98,195.79,41.26_119.00,53.89_147.81,81.24_167.99,109.09_147.52,122.79_119.04,43.87_74.16,56.31_68.42,71.03_71.62,92.37_71.67,107.24_68.64,119.88_74.12,81.67_82.60,81.21_105.97,71.19_110.35,81.42_113.46,91.88_110.31,50.53_84.88,68.59_84.94,94.51_85.01,112.72_84.97,62.77_130.44,76.69_125.42,81.62_126.93,86.40_125.42,100.85_129.60,93.21_139.14,81.31_143.30,69.80_139.07,81.70_130.79,81.50_136.46,59.28_82.30,59.60_86.93,103.66_82.11,103.54_86.95
2.7561559677124023,0.00,0.43,0.00,2.80,1.93,1.64,-4.95,5.18,176.76,202.22,41.90_124.56,53.99_153.13,81.65_173.70,111.05_152.87,124.40_124.64,44.46_77.50,56.98_71.38,71.94_74.20,93.00_74.26,108.14_71.65,120.81_77.87,82.80_84.86,81.75_106.58,72.15_113.11,82.03_114.76,92.24_113.09,51.07_88.00,69.92_87.97,94.95_88.04,113.87_87.91,62.63_134.72,77.00_128.00,82.21_129.72,87.39_128.07,102.02_134.35,94.14_145.75,81.94_149.98,70.04_145.51,82.35_134.45,82.08_142.49,60.29_84.83,60.58_90.11,104.39_84.56,104.43_90.05
2.95662784576416,0.00,0.43,0.00,1.80,2.70,3.68,-7.07,4.34,184.93,195.15,39.86_118.45,53.94_148.19,81.88_166.96,112.96_149.59,129.81_120.25,44.63_73.01,57.55_67.51,73.09_70.41,95.96_70.26,111.85_68.09,124.51_74.00,84.78_81.82,83.13_103.97,72.67_109.34,83.08_111.20,94.51_109.50,52.56_84.30,71.69_84.17,97.14_84.33,116.67_84.66,64.73_131.83,78.42_125.14,82.95_126.79,87.64_125.59,102.05_132.86,92.60_139.69,82.12_141.64,72.53_138.67,83.07_131.33,82.54_135.31,61.77_80.94,62.37_86.65,106.88_81.02,106.60_86.91
3.1573848724365234,0.00,0.43,0.00,-3.35,0.88,1.86,-7.83,6.07,182.02,186.85,37.26_116.02,53.03_146.16,82.11_161.77,111.79_146.46,127.77_116.34,43.05_71.61,57.03_67.16,71.69_69.99,93.11_70.06,107.96_67.00,121.67_71.82,82.01_80.46,82.08_107.48,73.57_111.64,82.16_114.10,91.43_111.71,51.26_82.78,69.84_83.15,94.94_82.93,113.66_82.82,64.64_130.64,78.80_125.02,82.46_126.57,86.10_125.28,99.92_131.43,90.91_136.85,81.82_139.05,72.91_136.01,82.52_130.95,82.05_132.60,60.67_79.41,60.52_85.11,104.33_79.26,104.10_85.07
3.357980728149414,0.00,0.43,0.00,3.15,0.70,1.47,-7.09,4.41,180.16,194.76,39.12_120.62,53.49_148.86,81.68_166.71,111.49_148.18,126.12_120.06,43.27_74.23,56.79_67.86,72.60_70.70,92.85_70.62,108.40_67.75,121.09_74.20,83.15_81.00,82.32_102.35,72.85_109.70,82.65_110.90,92.45_109.40,51.14_84.40,70.25_84.16,94.75_84.20,113.73_84.09,64.55_132.03,78.08_124.61,82.66_126.33,87.13_124.69,99.71_132.18,91.90_139.88,81.85_142.45,71.81_139.51,82.91_130.88,81.92_135.31,60.46_80.53,61.01_86.86,104.20_80.31,104.22_86.67
3.5586628913879395,0.00,0.43,0.00,1.20,1.37,2.71,-6.89,4.89,180.54,194.54,36.08_118.99,50.90_149.29,80.61_167.01,112.20_149.94,129.32_119.43,43.57_74.03,56.95_68.35,72.90_71.65,92.15_71.42,108.15_68.28,121.56_74.15,82.85_81.35,81.95_104.14,72.73_110.74,82.22_112.40,91.91_110.87,52.05_84.52,70.21_84.65,94.70_84.83,113.26_84.77,64.18_132.51,77.19_125.20,81.83_126.82,86.42_125.48,99.48_133.08,91.60_140.67,81.17_143.15,71.00_139.90,81.93_131.15,81.28_136.44,60.83_81.40,61.19_86.72,103.95_81.42,103.88_87.08
3.759305953979492,0.00,0.43,0.00,1.90,0.59,1.36,-6.55,5.96,179.46,193.07,38.60_121.12,54.05_149.70,81.67_166.85,111.33_148.80,127.49_120.07,43.62_74.93,57.43_68.82,73.43_72.28,92.71_71.94,108.05_68.88,121.13_74.91,83.49_81.59,82.74_104.40,75.14_112.10,83.04_113.06,90.80_111.70,52.17_85.19,70.85_85.14,94.51_85.10,113.19_84.67,66.10_132.27,79.13_125.56,82.86_126.85,86.44_125.66,98.80_132.85,91.56_140.25,82.27_143.04,72.81_139.64,83.14_131.14,82.45_136.09,61.22_81.43,61.67_87.80,103.69_81.07,103.85_87.52
